Date,Close,Open,High,Low,Volume,Chg%,daily_return_pct,market_direction,ma_7,month
1995-11-06,988.92,1001.53,1001.53,988.92,0.0,-0.0111,,Down,,11
1995-11-07,978.22,987.17,987.17,977.05,0.0,-0.0108,-1.0819884318246098,Down,,11
1995-11-08,964.01,976.28,976.28,962.98,0.0,-0.0145,-1.4526384657847946,Down,,11
1995-11-09,953.07,960.32,960.32,952.13,0.0,-0.0113,-1.1348429995539422,Down,,11
1995-11-10,948.82,951.93,951.93,946.0,0.0,-0.0045,-0.4459273715466838,Down,,11
1995-11-13,917.26,949.29,949.29,916.48,0.0,-0.0333,-3.3262367993929343,Down,,11
1995-11-14,902.56,916.66,916.66,897.52,0.0,-0.016,-1.6025990449818006,Down,950.4085714285713,11
1995-11-15,913.21,901.33,913.54,901.33,0.0,0.0118,1.1799769544407201,Up,939.592857142857,11
1995-11-16,904.08,915.96,915.96,900.83,0.0,-0.01,-0.9997700419399735,Down,929.0014285714286,11
1995-11-17,898.86,898.72,900.41,885.31,0.0,-0.0058,-0.5773825325192439,Down,919.6942857142858,11
1995-11-20,892.79,896.27,898.86,892.05,0.0,-0.0068,-0.6752998242217978,Down,911.0828571428572,11
1995-11-21,876.59,891.96,891.96,876.0,0.0,-0.0181,-1.8145364531412689,Down,900.7642857142857,11
1995-11-22,864.42,878.0,878.0,856.92,0.0,-0.0139,-1.3883343410260318,Down,893.2157142857143,11
1995-11-23,849.5,856.2,856.2,842.33,0.0,-0.0173,-1.72601281784317,Down,885.6357142857144,11
1995-11-24,871.11,849.6,874.97,849.6,0.0,0.0254,2.543849323131253,Up,879.6214285714286,11
1995-11-27,861.25,871.94,878.58,858.93,0.0,-0.0113,-1.131889198838265,Down,873.5028571428572,11
1995-11-28,843.68,854.5,854.5,841.44,0.0,-0.0204,-2.040058055152405,Down,865.62,11
1995-11-29,845.12,845.36,845.36,822.54,0.0,0.0017,0.17068082685378627,Up,858.8100000000001,11
1995-11-30,862.1,840.87,863.98,838.36,0.0,0.0201,2.0091821279818234,Up,856.7399999999999,11
1995-12-01,873.05,867.99,877.41,866.37,0.0,0.0127,1.2701542744461225,Up,857.972857142857,12
1995-12-04,863.7,870.29,873.05,861.97,0.0,-0.0107,-1.0709581352728814,Down,860.0014285714285,12
1995-12-05,866.52,860.02,867.59,854.47,0.0,0.0033,0.32650225772836716,Up,859.3457142857143,12
1995-12-06,878.93,870.39,878.93,868.12,0.0,0.0143,1.4321654433827158,Up,861.8714285714286,12
1995-12-07,898.62,881.97,901.25,881.97,0.0,0.0224,2.240223908616157,Up,869.72,12
1995-12-08,887.12,900.28,908.12,886.54,0.0,-0.0128,-1.2797400458480768,Down,875.72,12
1995-12-11,877.41,882.58,882.58,874.37,0.0,-0.0109,-1.0945531607899794,Down,877.907142857143,12
1995-12-12,879.49,878.99,880.08,875.43,0.0,0.0024,0.23706135102177228,Up,878.8271428571428,12
1995-12-13,889.26,881.3,889.26,881.3,0.0,0.0111,1.1108710730082239,Up,882.4785714285715,12
1995-12-14,884.34,890.81,891.98,884.31,0.0,-0.0055,-0.5532690101882398,Down,885.0242857142857,12
1995-12-15,883.41,876.95,883.85,875.5,0.0,-0.0011,-0.1051631725354607,Down,885.6642857142857,12
1995-12-18,882.63,883.29,883.58,881.17,0.0,-0.0009,-0.08829422352022442,Down,883.38,12
1995-12-19,883.72,882.35,884.19,879.54,0.0,0.0012,0.12349455604274695,Up,882.8942857142857,12
1995-12-20,885.53,883.68,887.19,883.68,0.0,0.002,0.20481600506947473,Up,884.0542857142857,12
1995-12-21,900.5,888.25,900.5,887.73,0.0,0.0169,1.6905130260973733,Up,887.0557142857143,12
1995-12-22,900.65,900.86,906.63,899.38,0.0,0.0002,0.016657412548570782,Up,888.6828571428571,12
1995-12-26,905.33,899.87,906.47,898.41,0.0,0.0052,0.51962471548328,Up,891.6814285714285,12
1995-12-27,922.5,908.81,923.09,908.81,0.0,0.019,1.896546010846878,Up,897.2657142857142,12
1995-12-28,914.55,923.67,927.6,913.76,0.0,-0.0086,-0.8617886178861833,Down,901.8257142857143,12
1995-12-29,908.53,912.72,912.72,906.32,0.0,-0.0066,-0.6582472254114013,Down,905.3699999999999,12
1996-01-01,908.01,913.11,913.11,906.15,0.0,-0.0006,-0.05723531418885264,Down,908.5814285714285,1
1996-01-02,900.38,906.78,906.78,899.52,0.0,-0.0084,-0.8402991156485018,Down,908.5642857142857,1
1996-01-03,895.96,901.66,904.48,895.48,0.0,-0.0049,-0.49090384060063164,Down,907.8942857142857,1
1996-01-04,889.67,891.37,891.37,884.1,0.0,-0.007,-0.7020402696549022,Down,905.657142857143,1
1996-01-05,884.73,887.79,887.79,881.74,0.0,-0.0056,-0.5552620634617256,Down,900.2614285714286,1
1996-01-08,869.7,883.64,883.64,868.44,0.0,-0.017,-1.69882336984164,Down,893.8542857142857,1
1996-01-09,869.12,864.84,870.71,856.77,0.0,-0.0007,-0.06668966310222624,Down,888.2242857142858,1
1996-01-10,863.8,863.86,869.01,863.8,0.0,-0.0061,-0.6121134020618646,Down,881.9085714285713,1
1996-01-11,873.27,862.62,873.72,861.97,0.0,0.011,1.0963185922667318,Up,878.0357142857143,1
1996-01-12,875.15,875.11,877.6,872.1,0.0,0.0022,0.21528278768307985,Up,875.0628571428571,1
1996-01-15,871.32,878.74,878.74,870.98,0.0,-0.0044,-0.4376392618408165,Down,872.4414285714286,1
1996-01-16,868.52,871.29,871.29,866.64,0.0,-0.0032,-0.3213515126474831,Down,870.1257142857143,1
1996-01-17,857.11,866.0,866.0,857.11,0.0,-0.0131,-1.313729102381056,Down,868.327142857143,1
1996-01-18,848.83,853.28,853.28,841.79,0.0,-0.0097,-0.966037031419531,Down,865.4285714285714,1
1996-01-19,843.99,846.66,847.17,840.18,0.0,-0.0057,-0.5701966235877709,Down,862.5985714285715,1
1996-01-22,844.31,844.83,847.12,844.04,0.0,0.0004,0.03791514117466033,Up,858.4614285714285,1
1996-01-23,832.9,846.05,846.05,830.83,0.0,-0.0135,-1.351399367530881,Down,852.4257142857143,1
1996-01-24,818.69,831.17,831.17,816.0,0.0,-0.0171,-1.7060871653259646,Down,844.9071428571427,1
1996-01-25,814.92,819.56,819.56,814.34,0.0,-0.0046,-0.4604917612283099,Down,837.25,1
1996-01-29,830.88,813.12,832.23,813.12,0.0,0.0196,1.9584744514798968,Up,833.5028571428571,1
